file,date,title,existing_categories,existing_tags,already_classified,suggested_category,method,detail,final_category
2014-10-03-welcome-to-my-blog.markdown,2014-10-03 14:30:02,Welcome to my Blog!,personal,"",true,"",no-match,no keyword hits — needs manual read,personal
2014-10-04-the-joy-of-writing.markdown,2014-10-04 09:37:41,The Joy of writing!,personal,writing|ghost-tag|blog,true,"",weak-match,"too close to call (personal:1, tech:1) — needs manual read",personal
2014-10-15-some-of-my-favorite-xkcds.markdown,2014-10-15 14:32:57,Some of my favorite xkcd's.,philosophy,fun|comics|xkcd,true,"",weak-match,"too close to call (philosophy:1, personal:1) — needs manual read",philosophy
2014-10-17-dukes-mixture.markdown,2014-10-17 15:40:22,The Duke's Mixture.,philosophy|personal,english|language|history|rants,true,books,keyword-heuristic,"books:4, personal:3, politics:1",philosophy|personal
2014-10-19-going-back-to-the-womb.markdown,2014-10-19 19:23:08,Going back to the womb!,philosophy,development|internet,true,tech,keyword-heuristic,"tech:5, books:1",philosophy
2014-11-10-my-dog-the-paradox.markdown,2014-11-10 09:29:03,My Dog- The Paradox.,philosophy,life|comics,true,"",no-match,no keyword hits — needs manual read,philosophy
2014-11-18-reading-adultery.markdown,2014-11-18 14:15:10,Reading Adultery.,philosophy|books,english|life|reading|books|language,true,"",weak-match,"too close to call (books:2, personal:1) — needs manual read",philosophy|books
2014-11-21-when-psychedelia-plucks-the-chord.markdown,2014-11-21 12:35:27,When psychedelia plucks the chord.,personal,writing|blog|rants,true,"",weak-match,"too close to call (philosophy:2, personal:1) — needs manual read",personal
2014-11-26-enough-with-this-foreign-language-frenzy.markdown,2014-11-26 07:25:45,Enough with this foreign language frenzy!,policy|philosophy,blog|english|language|rants,true,tech,keyword-heuristic,"tech:4, philosophy:1",policy|philosophy
2014-12-03-i-will-suffer-in-happiness.markdown,2014-12-03 19:11:51,I will suffer in Happiness!,philosophy,english|life|language|fun|comics,true,"",weak-match,too close to call (philosophy:1) — needs manual read,philosophy
2014-12-12-my-different-nation.markdown,2014-12-12 17:49:44,My different nation.,politics,writing|blog|rants,true,politics,keyword-heuristic,"politics:3, philosophy:1",politics
2015-01-07-the-gargantuan-gag.markdown,2015-01-07 11:19:07,The gargantuan gag.,philosophy,writing|blog|rants,true,"",weak-match,too close to call (policy:1) — needs manual read,philosophy
2015-01-27-interesting-times-are-coming.markdown,2015-01-27 16:45:11,Interesting times are coming!,politics|policy|philosophy,blog|language|rants,true,politics,keyword-heuristic,"politics:6, policy:2, philosophy:1",politics|policy|philosophy
2015-01-27-ragam-paraphernalia.markdown,2015-01-27 14:38:32,The Ragam Paraphernalia.,tech,"",true,"",weak-match,"too close to call (books:2, tech:1) — needs manual read",tech
2015-02-27-ayesha-you-shall-return.markdown,2015-02-27 21:13:58,"Ayesha, You shall return",philosophy,writing|blog|story,true,tech,keyword-heuristic,"tech:11, personal:4, philosophy:3",philosophy
2015-02-28-a-speech-that-can-unite-the-whole-of-humanity.markdown,2015-02-28 11:10:10,A Speech that can unite the whole of Humanity,politics,writing|blog|life|rants,true,philosophy,keyword-heuristic,"philosophy:4, books:3, tech:3",politics
2015-03-03-what-is-the-best-way-to-use-quora-to-develop-a-personal-philosophy-and-live-well.markdown,2015-03-03 07:30:55,What is the best way to use Quora to develop a personal philosophy and live well?,philosophy,quora,true,tech,keyword-heuristic,"tech:7, philosophy:4, books:1",philosophy
2015-03-04-protection.markdown,2015-03-04 12:57:53,We specialize in protection,philosophy,life|rants,true,"",weak-match,"too close to call (personal:2, policy:1) — needs manual read",philosophy
2015-03-16-the-touch-of-parvati-3.markdown,2015-03-16 19:39:51,The touch of Parvati,philosophy|personal,writing|blog|life|rants,true,personal,keyword-heuristic,personal:6,philosophy|personal
2015-03-25-srsstti.markdown,2015-03-25 11:09:35,സൃഷ്ടി,philosophy|personal,"",true,malayalam,unicode-detected,964 Malayalam-range chars,philosophy|personal
